 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
" MUNICIPIO IGNORADO - RO";-;4;-;6;4;1;-;4;19
"110001 ALTA FLORESTA D'OESTE";-;4;1;3;1;1;-;4;14
"110002 ARIQUEMES";1;6;2;19;4;5;6;11;54
"110003 CABIXI";-;1;-;-;-;-;-;1;2
"110004 CACOAL";-;6;3;5;5;3;1;12;35
"110005 CEREJEIRAS";-;-;2;4;2;1;-;1;10
"110006 COLORADO DO OESTE";-;3;2;3;3;-;-;3;14
"110007 CORUMBIARA";-;-;-;1;-;-;-;1;2
"110008 COSTA MARQUES";-;4;-;2;-;2;1;2;11
"110009 ESPIGAO D'OESTE";-;-;3;2;1;1;1;3;11
"110010 GUAJARA-MIRIM";-;1;1;1;2;2;-;2;9
"110011 JARU";-;5;1;18;5;8;-;1;38
"110012 JI-PARANA";-;13;9;14;5;3;5;9;58
"110013 MACHADINHO D'OESTE";-;2;2;2;3;2;-;3;14
"110014 NOVA BRASILANDIA D'OESTE";-;1;2;-;-;-;1;-;4
"110015 OURO PRETO DO OESTE";1;1;2;7;3;1;4;3;22
"110018 PIMENTA BUENO";1;2;2;2;5;1;-;4;17
"110020 PORTO VELHO";1;45;18;57;34;27;13;42;237
"110025 PRESIDENTE MEDICI";-;3;2;3;-;2;1;6;17
"110026 RIO CRESPO";-;1;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;4;6;14;2;3;5;8;42
"110029 SANTA LUZIA D'OESTE";-;1;2;2;-;2;2;1;10
"110030 VILHENA";-;7;5;2;5;3;3;4;29
"110032 SAO MIGUEL DO GUAPORE";-;-;-;3;-;3;-;1;7
"110033 NOVA MAMORE";-;-;2;-;-;-;1;1;4
"110034 ALVORADA D'OESTE";-;3;2;5;2;2;1;3;18
"110037 ALTO ALEGRE DOS PARECIS";-;1;-;-;-;-;-;1;2
"110040 ALTO PARAISO";-;-;1;-;1;-;-;-;2
"110045 BURITIS";-;-;-;2;-;-;1;3;6
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;-;-;1;-;2
"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-
"110070 CAMPO NOVO DE RONDONIA";-;-;-;1;1;2;-;1;5
"110080 CANDEIAS DO JAMARI";-;-;-;-;-;-;-;1;1
"110090 CASTANHEIRAS";-;-;1;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;1;1;2;-;-;4
"110094 CUJUBIM";-;1;-;-;-;-;-;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;1;1;1;2;-;-;5
"110110 ITAPUA DO OESTE";-;-;-;-;1;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;2;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;1;2;-;-;2;5
"110140 MONTE NEGRO";-;-;-;1;-;-;1;1;3
"110143 NOVA UNIAO";-;-;-;1;-;-;-;-;1
"110145 PARECIS";-;-;-;-;-;-;-;-;-
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-
"110148 SAO FELIPE D'OESTE";-;1;-;2;-;-;-;1;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;1;1;-;1;4
"110150 SERINGUEIRAS";-;2;-;-;-;-;-;2;4
"110155 TEIXEIROPOLIS";-;-;-;1;-;-;-;-;1
"110160 THEOBROMA";-;-;1;1;-;-;-;1;3
"110170 URUPA";-;-;-;2;-;2;-;1;5
"110175 VALE DO ANARI";-;1;1;-;-;1;-;-;3
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-
"120001 ACRELANDIA";-;-;-;-;1;1;1;-;3
"120005 ASSIS BRASIL";1;-;-;-;-;-;-;-;1
"120010 BRASILEIA";-;2;2;2;1;3;5;-;15
"120013 BUJARI";-;-;-;-;-;-;-;-;-
"120017 CAPIXABA";-;-;-;-;-;-;-;-;-
"120020 CRUZEIRO DO SUL";-;1;6;11;4;6;36;5;69
"120025 EPITACIOLANDIA";-;-;1;-;-;-;7;-;8
"120030 FEIJO";1;3;-;3;-;6;8;3;24
"120032 JORDAO";-;-;-;-;-;-;-;-;-
"120033 MANCIO LIMA";-;-;-;-;-;-;-;-;-
"120034 MANOEL URBANO";-;-;-;-;-;-;-;-;-
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;-;-;-;1
"120038 PLACIDO DE CASTRO";-;1;-;2;1;1;2;1;8
"120039 PORTO WALTER";-;-;-;-;-;-;2;-;2
"120040 RIO BRANCO";2;21;34;55;29;21;35;32;229
"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-
"120043 SANTA ROSA DO PURUS";-;-;-;-;-;-;-;-;-
"120045 SENADOR GUIOMARD";-;1;-;-;-;-;1;-;2
"120050 SENA MADUREIRA";-;2;-;2;7;5;2;3;21
"120060 TARAUACA";-;-;-;-;-;1;-;-;1
"120070 XAPURI";-;-;-;2;3;-;-;1;6
"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - AM";-;3;2;4;1;-;1;1;12
"130002 ALVARAES";-;-;-;-;-;-;-;1;1
"130006 AMATURA";-;-;-;-;-;-;-;-;-
"130008 ANAMA";-;-;-;-;-;-;-;-;-
"130010 ANORI";-;2;-;1;1;-;1;-;5
"130014 APUI";-;-;1;4;3;2;1;1;12
"130020 ATALAIA DO NORTE";-;-;-;-;-;-;-;-;-
"130030 AUTAZES";-;-;-;1;2;2;-;1;6
"130040 BARCELOS";-;-;-;1;-;-;-;1;2
"130050 BARREIRINHA";-;-;-;-;-;-;-;-;-
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-
"130063 BERURI";-;-;-;1;-;1;-;1;3
"130068 BOA VISTA DO RAMOS";-;-;-;2;-;-;-;-;2
"130070 BOCA DO ACRE";-;-;-;-;1;-;-;1;2
"130080 BORBA";-;-;3;2;1;-;-;-;6
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-
"130090 CANUTAMA";-;7;-;1;-;1;1;-;10
"130100 CARAUARI";-;1;-;9;2;11;2;4;29
"130110 CAREIRO";-;1;-;-;-;-;-;1;2
"130115 CAREIRO DA VARZEA";-;-;-;-;-;-;-;-;-
"130120 COARI";2;3;1;5;3;3;-;4;21
"130130 CODAJAS";-;2;-;-;1;-;3;3;9
"130140 EIRUNEPE";-;-;-;-;-;-;-;-;-
"130150 ENVIRA";-;5;1;2;-;1;1;-;10
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-
"130165 GUAJARA";-;1;-;-;-;-;1;1;3
"130170 HUMAITA";-;-;2;10;1;-;1;1;15
"130180 IPIXUNA";-;-;-;-;-;-;-;-;-
"130185 IRANDUBA";-;1;-;1;1;-;-;1;4
"130190 ITACOATIARA";-;7;1;12;2;2;19;2;45
"130195 ITAMARATI";-;-;-;-;1;1;-;1;3
"130200 ITAPIRANGA";-;-;-;-;2;1;-;-;3
"130210 JAPURA";-;-;-;-;-;-;-;-;-
"130220 JURUA";-;-;-;-;-;-;-;-;-
"130230 JUTAI";-;-;-;-;-;-;-;-;-
"130240 LABREA";-;-;1;-;2;2;-;1;6
"130250 MANACAPURU";-;3;2;6;2;2;3;3;21
"130255 MANAQUIRI";-;1;-;-;-;-;-;-;1
"130260 MANAUS";4;191;152;282;68;88;144;318;1247
"130270 MANICORE";-;-;-;-;-;-;-;-;-
"130280 MARAA";-;-;-;-;-;-;-;-;-
"130290 MAUES";-;-;-;2;-;1;1;-;4
"130300 NHAMUNDA";-;1;-;-;1;1;3;1;7
"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;-;-;-;-
"130320 NOVO AIRAO";-;-;1;1;-;1;-;1;4
"130330 NOVO ARIPUANA";-;-;1;1;1;-;-;2;5
"130340 PARINTINS";-;1;-;-;-;-;-;-;1
"130350 PAUINI";-;-;-;-;-;-;-;-;-
"130353 PRESIDENTE FIGUEIREDO";-;1;-;-;-;2;-;-;3
"130356 RIO PRETO DA EVA";-;-;-;1;-;-;-;1;2
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1;1;1;-;-;3
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;-;-;-;-
"130380 SAO GABRIEL DA CACHOEIRA";1;2;3;-;4;2;-;-;12
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;1;1;-;2
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;-;-;-;-;-
"130400 SILVES";-;2;2;1;-;-;-;-;5
"130406 TABATINGA";-;1;5;7;1;6;-;1;21
"130410 TAPAUA";-;2;-;-;-;1;2;1;6
"130420 TEFE";-;3;2;12;1;-;4;2;24
"130423 TONANTINS";-;-;-;-;-;-;-;-;-
"130426 UARINI";-;-;-;-;-;-;-;-;-
"130430 URUCARA";-;1;-;-;-;1;-;-;2
"130440 URUCURITUBA";-;-;-;-;1;1;1;-;3
" MUNICIPIO IGNORADO - RR";-;-;-;-;-;-;-;-;-
"140002 AMAJARI";-;-;-;-;-;-;-;-;-
"140005 ALTO ALEGRE";-;1;2;-;-;1;-;1;5
"140010 BOA VISTA";-;11;22;12;5;17;5;33;105
"140015 BONFIM";-;-;-;1;1;1;-;1;4
"140017 CANTA";-;-;-;-;-;1;-;1;2
"140020 CARACARAI";-;-;-;1;1;2;-;1;5
"140023 CAROEBE";-;-;-;-;-;-;-;-;-
"140028 IRACEMA";-;-;-;-;1;1;-;-;2
"140030 MUCAJAI";-;3;-;-;1;-;-;-;4
"140040 NORMANDIA";-;-;-;-;-;3;-;1;4
"140045 PACARAIMA";-;-;-;-;-;2;-;1;3
"140047 RORAINOPOLIS";-;-;1;2;-;2;-;-;5
"140050 SAO JOAO DA BALIZA";-;-;-;-;1;-;-;3;4
"140060 SAO LUIZ";-;-;-;-;-;1;-;2;3
"140070 UIRAMUTA";-;-;1;1;1;-;-;-;3
" MUNICIPIO IGNORADO - PA";-;-;-;-;1;-;-;1;2
"150010 ABAETETUBA";-;15;3;12;5;4;8;3;50
"150013 ABEL FIGUEIREDO";-;-;-;-;-;-;2;-;2
"150020 ACARA";-;1;3;4;-;-;-;-;8
"150030 AFUA";-;-;-;-;1;-;-;4;5
"150034 AGUA AZUL DO NORTE";-;-;-;-;-;-;-;-;-
"150040 ALENQUER";-;-;-;5;-;1;-;-;6
"150050 ALMEIRIM";-;2;2;1;-;-;-;1;6
"150060 ALTAMIRA";-;10;4;24;8;3;12;12;73
"150070 ANAJAS";-;-;-;-;-;1;-;1;2
"150080 ANANINDEUA";2;38;21;85;23;27;13;46;255
"150085 ANAPU";-;-;-;-;1;1;-;-;2
"150090 AUGUSTO CORREA";-;1;2;1;1;3;-;1;9
"150095 AURORA DO PARA";-;-;-;1;-;-;-;-;1
"150100 AVEIRO";-;-;-;-;-;-;1;-;1
"150110 BAGRE";-;-;-;-;-;-;2;-;2
"150120 BAIAO";-;-;-;-;-;-;3;-;3
"150125 BANNACH";-;-;-;-;-;-;-;-;-
"150130 BARCARENA";-;2;-;8;-;2;2;2;16
"150140 BELEM";1;173;65;282;48;46;3;137;755
"150145 BELTERRA";-;-;-;-;-;-;-;-;-
"150150 BENEVIDES";-;1;3;1;-;-;-;1;6
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;-;1;1
"150160 BONITO";-;-;-;1;-;-;-;-;1
"150170 BRAGANCA";-;4;3;5;6;3;9;6;36
"150172 BRASIL NOVO";-;-;-;-;-;-;-;1;1
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;1;-;-;1;-;2
"150178 BREU BRANCO";1;-;2;2;-;-;-;-;5
"150180 BREVES";-;9;4;9;5;4;12;1;44
"150190 BUJARU";-;-;1;-;1;1;-;-;3
"150195 CACHOEIRA DO PIRIA";-;-;-;-;2;-;-;1;3
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;-;3;-;3
"150210 CAMETA";-;-;-;1;-;2;26;1;30
"150215 CANAA DOS CARAJAS";-;-;-;-;-;-;-;-;-
"150220 CAPANEMA";-;9;3;5;3;5;7;10;42
"150230 CAPITAO POCO";-;-;-;-;-;1;19;-;20
"150240 CASTANHAL";-;5;2;21;12;8;15;8;71
"150250 CHAVES";1;-;-;-;-;-;-;-;1
"150260 COLARES";-;-;-;-;2;-;3;-;5
"150270 CONCEICAO DO ARAGUAIA";-;4;4;3;6;1;-;6;24
"150275 CONCORDIA DO PARA";-;-;-;-;1;-;1;1;3
"150276 CUMARU DO NORTE";-;-;-;-;-;-;1;-;1
"150277 CURIONOPOLIS";-;-;-;1;1;1;-;2;5
"150280 CURRALINHO";-;-;1;-;-;-;3;-;4
"150285 CURUA";-;-;-;-;-;-;-;-;-
"150290 CURUCA";-;-;-;-;1;-;-;1;2
"150293 DOM ELISEU";-;2;-;3;2;1;-;-;8
"150295 ELDORADO DOS CARAJAS";-;-;1;3;2;5;4;-;15
"150300 FARO";-;-;-;-;-;-;-;-;-
"150304 FLORESTA DO ARAGUAIA";-;2;-;-;-;-;-;-;2
"150307 GARRAFAO DO NORTE";-;-;-;-;-;-;31;-;31
"150309 GOIANESIA DO PARA";-;-;1;-;-;-;1;1;3
"150310 GURUPA";-;-;-;2;1;1;5;-;9
"150320 IGARAPE-ACU";-;1;1;3;1;4;7;1;18
"150330 IGARAPE-MIRI";-;2;1;3;-;-;2;2;10
"150340 INHANGAPI";-;-;1;1;-;-;2;1;5
"150345 IPIXUNA DO PARA";1;-;3;-;-;2;-;-;6
"150350 IRITUIA";-;2;-;-;2;-;1;2;7
"150360 ITAITUBA";-;-;-;-;-;-;-;2;2
"150370 ITUPIRANGA";-;1;2;1;1;2;-;2;9
"150375 JACAREACANGA";-;-;-;-;-;-;-;-;-
"150380 JACUNDA";-;-;1;-;-;-;-;-;1
"150390 JURUTI";-;-;-;-;2;-;3;-;5
"150400 LIMOEIRO DO AJURU";-;-;-;1;-;-;1;-;2
"150405 MAE DO RIO";-;4;2;5;2;3;6;5;27
"150410 MAGALHAES BARATA";-;-;-;-;-;-;1;-;1
"150420 MARABA";-;7;6;17;14;12;13;15;84
"150430 MARACANA";-;1;-;-;-;-;2;-;3
"150440 MARAPANIM";-;1;-;-;-;-;1;-;2
"150442 MARITUBA";-;1;-;2;4;1;-;1;9
"150445 MEDICILANDIA";-;-;1;-;-;-;-;1;2
"150450 MELGACO";-;-;-;1;-;-;1;1;3
"150460 MOCAJUBA";-;-;1;-;-;-;-;1;2
"150470 MOJU";-;1;2;1;2;2;5;1;14
"150475 MOJUI DOS CAMPOS";-;-;-;-;-;-;-;-;-
"150480 MONTE ALEGRE";-;1;3;-;3;-;3;1;11
"150490 MUANA";-;-;-;-;1;-;1;2;4
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;1;-;-;-;-;1
"150497 NOVA IPIXUNA";-;-;-;-;-;-;-;-;-
"150500 NOVA TIMBOTEUA";-;-;-;-;-;-;-;-;-
"150503 NOVO PROGRESSO";-;-;-;-;-;-;-;-;-
"150506 NOVO REPARTIMENTO";-;2;3;4;3;1;2;1;16
"150510 OBIDOS";-;1;-;1;-;1;-;-;3
"150520 OEIRAS DO PARA";-;-;1;-;1;-;2;3;7
"150530 ORIXIMINA";-;-;2;2;1;1;1;1;8
"150540 OUREM";-;-;-;1;-;-;2;-;3
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;1;1
"150548 PACAJA";-;-;2;1;1;-;-;-;4
"150549 PALESTINA DO PARA";-;-;-;-;-;-;-;-;-
"150550 PARAGOMINAS";-;18;4;11;-;13;48;3;97
"150553 PARAUAPEBAS";-;1;2;3;3;5;5;3;22
"150555 PAU D'ARCO";-;-;-;-;-;-;-;-;-
"150560 PEIXE-BOI";-;-;-;-;-;-;-;-;-
"150563 PICARRA";-;-;1;1;2;-;1;-;5
"150565 PLACAS";-;-;-;-;-;-;-;-;-
"150570 PONTA DE PEDRAS";-;1;-;-;-;-;-;2;3
"150580 PORTEL";-;1;2;-;1;2;3;3;12
"150590 PORTO DE MOZ";-;-;-;1;-;1;3;2;7
"150600 PRAINHA";-;-;-;-;-;-;2;-;2
"150610 PRIMAVERA";-;-;-;-;-;-;1;-;1
"150611 QUATIPURU";-;-;-;-;-;1;1;-;2
"150613 REDENCAO";-;2;1;7;3;6;19;4;42
"150616 RIO MARIA";-;6;2;1;2;2;4;2;19
"150618 RONDON DO PARA";-;1;-;-;-;-;-;1;2
"150619 RUROPOLIS";-;-;1;2;2;1;2;1;9
"150620 SALINOPOLIS";-;2;1;-;-;2;9;2;16
"150630 SALVATERRA";-;1;1;2;-;1;1;-;6
"150635 SANTA BARBARA DO PARA";-;-;1;-;-;1;-;1;3
"150640 SANTA CRUZ DO ARARI";-;-;-;-;-;-;1;-;1
"150650 SANTA IZABEL DO PARA";-;3;2;3;1;5;4;4;22
"150655 SANTA LUZIA DO PARA";-;1;-;2;1;-;3;2;9
"150658 SANTA MARIA DAS BARREIRAS";-;-;-;-;-;-;1;-;1
"150660 SANTA MARIA DO PARA";-;-;-;-;-;-;-;1;1
"150670 SANTANA DO ARAGUAIA";-;-;-;-;-;-;1;-;1
"150680 SANTAREM";-;10;4;9;13;17;2;15;70
"150690 SANTAREM NOVO";-;-;-;-;-;-;1;-;1
"150700 SANTO ANTONIO DO TAUA";-;2;2;3;-;1;2;2;12
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;-;-;1;-;1
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;-;-;2;-;-;2
"150720 SAO DOMINGOS DO CAPIM";-;-;-;1;-;-;-;1;2
"150730 SAO FELIX DO XINGU";-;1;-;-;-;-;2;-;3
"150740 SAO FRANCISCO DO PARA";-;-;-;-;-;-;-;-;-
"150745 SAO GERALDO DO ARAGUAIA";-;3;2;3;2;1;-;1;12
"150746 SAO JOAO DA PONTA";-;-;-;-;-;-;-;-;-
"150747 SAO JOAO DE PIRABAS";-;1;-;-;-;-;1;-;2
"150750 SAO JOAO DO ARAGUAIA";-;-;-;-;1;-;-;-;1
"150760 SAO MIGUEL DO GUAMA";-;2;2;1;-;1;4;5;15
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;1;-;1;5;-;7
"150775 SAPUCAIA";-;-;-;-;-;-;-;-;-
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;-;-;2;-;2
"150790 SOURE";-;3;5;2;1;2;5;2;20
"150795 TAILANDIA";-;8;3;3;2;9;4;3;32
"150796 TERRA ALTA";-;-;-;-;-;-;-;-;-
"150797 TERRA SANTA";-;-;-;-;-;-;4;-;4
"150800 TOME-ACU";-;1;-;-;-;-;1;-;2
"150803 TRACUATEUA";-;2;-;-;-;-;1;1;4
"150805 TRAIRAO";-;1;-;-;-;-;-;-;1
"150808 TUCUMA";-;-;-;1;-;-;-;-;1
"150810 TUCURUI";-;2;6;13;3;5;4;5;38
"150812 ULIANOPOLIS";-;-;-;1;2;-;3;-;6
"150815 URUARA";-;2;-;1;-;-;-;2;5
"150820 VIGIA";-;2;-;3;-;1;15;1;22
"150830 VISEU";-;-;1;-;2;1;-;-;4
"150835 VITORIA DO XINGU";-;-;1;1;-;-;2;-;4
"150840 XINGUARA";-;-;-;-;-;-;-;1;1
" MUNICIPIO IGNORADO - AP";-;-;-;-;-;-;-;-;-
"160005 SERRA DO NAVIO";-;-;-;-;-;-;-;-;-
"160010 AMAPA";-;1;-;1;-;-;-;2;4
